GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4169800,"Stafford CDP, Oregon",White,79.23,94.40,15.17
4173650,"Tigard city, Oregon",Asian,6.80,9.18,2.38
4173650,"Tigard city, Oregon",Black,1.88,1.18,-0.70
4173650,"Tigard city, Oregon",HIPI,0.57,0.59,0.02
4173650,"Tigard city, Oregon",Hispanic,11.54,11.85,0.31
4173650,"Tigard city, Oregon",Native,0.33,0.22,-0.12
4173650,"Tigard city, Oregon",Two_races,5.18,6.89,1.72
4173650,"Tigard city, Oregon",White,74.35,71.88,-2.47
4174850,"Troutdale city, Oregon",Asian,6.10,4.45,-1.65
4174850,"Troutdale city, Oregon",Black,3.10,2.03,-1.07
4174850,"Troutdale city, Oregon",HIPI,0.00,0.04,0.04
4174850,"Troutdale city, Oregon",Hispanic,10.29,15.16,4.87
4174850,"Troutdale city, Oregon",Native,0.48,0.73,0.25
4174850,"Troutdale city, Oregon",Two_races,4.02,6.65,2.63
4174850,"Troutdale city, Oregon",White,76.45,71.04,-5.41
4174950,"Tualatin city, Oregon",Asian,3.36,2.76,-0.60
4174950,"Tualatin city, Oregon",Black,1.32,1.36,0.04
4174950,"Tualatin city, Oregon",HIPI,0.38,1.18,0.80
4174950,"Tualatin city, Oregon",Hispanic,18.12,21.52,3.39
4174950,"Tualatin city, Oregon",Native,0.63,0.22,-0.41
4174950,"Tualatin city, Oregon",Two_races,2.75,12.52,9.77
4174950,"Tualatin city, Oregon",White,73.63,66.26,-7.37
4180025,"West Haven-Sylvan CDP, Oregon",Asian,6.70,7.06,0.36
4180025,"West Haven-Sylvan CDP, Oregon",Black,0.95,2.42,1.47
4180025,"West Haven-Sylvan CDP, Oregon",HIPI,0.00,0.00,0.00
4180025,"West Haven-Sylvan CDP, Oregon",Hispanic,4.28,7.92,3.64
4180025,"West Haven-Sylvan CDP, Oregon",Native,0.17,0.00,-0.17
4180025,"West Haven-Sylvan CDP, Oregon",Two_races,4.87,7.73,2.86
4180025,"West Haven-Sylvan CDP, Oregon",White,83.73,76.08,-7.65
4180150,"West Linn city, Oregon",Asian,5.39,5.23,-0.16
4180150,"West Linn city, Oregon",Black,1.14,1.27,0.13
4180150,"West Linn city, Oregon",HIPI,0.13,0.23,0.09
4180150,"West Linn city, Oregon",Hispanic,4.64,6.79,2.14
4180150,"West Linn city, Oregon",Native,0.38,0.06,-0.32
